"State,City",Population
"Kansas,Topeka",146473
"California,Roseville",145687
"California,Fairfield",145163
"Texas,Tyler",143895
"California,Fullerton",142964
"Colorado,Pueblo",142727
"Georgia,Athens",142277
"California,Santa Maria",142230
"Arizona,Surprise",141875
"West Virginia,Charleston",141640
"New Mexico,Las Cruces",141399
"Louisiana,Metairie",140590
"Colorado,Thornton",140538
"Kansas,Olathe",140339
"Puerto Rico,Carolina",139735
"Georgia,Gainesville",139507
"Utah,West Valley City",139361
"California,Orange",139195
"Michigan,Warren",138996
"California,Pasadena",138771
"Texas,Beaumont",137549
"North Carolina,Burlington",137096
"Virginia,Hampton",136748
"Missouri,Columbia",136736
"Arizona,Yuma",135933
"New Jersey,Elizabeth",135772
"Wisconsin,Racine",135352
"Colorado,Greeley",135270
"Washington,Kent",134890
"Connecticut,Stamford",134820
"Texas,Odessa",134793
"Illinois,Bloomington",134357
"Florida,Miramar",134306
"Colorado,Grand Junction",134074
"Michigan,Sterling Heights",134062
"Florida,Coral Springs",133693
"Tennessee,Johnson City",131902
"Texas,Carrollton",131388
"Texas,Midland",130765
"Washington,Yakima",130440
"Washington,Bellingham",129601
"California,Yuba City",129536
"Michigan,South Lyon",128071
"California,Santa Clara",127922
"Utah,St. George",127890
"Arkansas,Fort Smith",127699
"California,Simi Valley",127158
"Delaware,Dover",125931
"Oklahoma,Norman",125745
"Texas,Abilene",125474
"Montana,Billings",124973
"Puerto Rico,Ponce",124719
"Florida,Lehigh Acres",123751
"Minnesota,St. Cloud",123569
"Puerto Rico,Arecibo",123499
"Wisconsin,Kenosha",123061
"North Carolina,Greenville",122921
"Colorado,Arvada",122903
"Texas,Pearland",122609
"Missouri,Independence",122230
"Texas,Texas City",122017
"California,Redding",121498
"Virginia,Lynchburg",120877
"Colorado,Boulder",120818
"Iowa,Iowa City",120015
"Minnesota,Rochester",119732
"California,Berkeley",119607
"Maryland,Waldorf",119442
"Florida,The Villages",119296
"Minnesota,Duluth",118975
"California,East Los Angeles",118964
"Michigan,Saginaw",118845
"California,Clovis",118488
"Massachusetts,Leominster",118190
"Texas,Round Rock",117735
"Louisiana,Monroe",117197
"Massachusetts,Cambridge",116892
"Florida,Clearwater",116616
"California,Seaside",116189
"Utah,West Jordan",116045
"Texas,Richardson",115904
"Florida,West Palm Beach",115877
"Texas,Temple",115809
"Vermont,Burlington",115682
"California,Richmond",115677
"Colorado,Westminster",115535
"Pennsylvania,Pottstown",115413
"Florida,Brandon",115330
"South Carolina,Rock Hill",115292
"Idaho,Meridian",115227
"Idaho,Coeur d'Alene",114880
"California,Carlsbad",114858
"Massachusetts,Lowell",114804
"Iowa,Waterloo",114594
"South Carolina,North Charleston",114542
"California,Gilroy",114461
"California,Downey",114293
"Oregon,Gresham",114164
"Illinois,Elgin",114156
"New York,Utica",112948
"Oklahoma,Broken Arrow",112751
"California,Costa Mesa",112148
"California,Chico",112132
"Iowa,Sioux City",111924
"Texas,League City",111847
"Florida,Miami Gardens",111706
"Florida,Pompano Beach",111423
"California,San Buenaventura",110572
"Washington,Everett",110438
"California,El Centro",110434
"Texas,Sugar Land",110272
"California,El Monte",110144
"Texas,Lewisville",110077
"California,West Covina",109396
"California,Temecula",109376
"Oregon,Bend",109224
"Maryland,Salisbury",108982
"North Carolina,Jacksonville",108549
"California,Inglewood",108206
"Michigan,Dearborn",107985
"Colorado,Centennial",107972
"California,Burbank",107364
"Nevada,Sparks",106900
"Georgia,Sandy Springs",106605
"Indiana,Bloomington",106327
"Utah,Logan",106319
"Hawaii,Kailua",106260
"California,El Cajon",106043
"Oregon,Hillsboro",105909
"Georgia,South Fulton",105551
"Washington,Renton",105313
"Louisiana,Mandeville",105097
"California,San Mateo",105087
"Maryland,Columbia",105086
"California,Daly City",104914
"Florida,Davie",104782
"California,Jurupa Valley",104684
"Massachusetts,Brockton",104216
"Colorado,Longmont",104035
"California,Rialto",103799
"Puerto Rico,San Germán",103747
"Wisconsin,Eau Claire",103586
"California,Turlock",103359
"California,Norwalk",103330
"Colorado,Highlands Ranch",103238
"Texas,Allen",102778
"Texas,Wichita Falls",102563
"New Mexico,Rio Rancho",102403
"California,Vacaville",102256
"Washington,Spokane Valley",102178
"Virginia,Charlottesville",102164
"Idaho,Idaho Falls",101326
"California,Menifee",101089
"Missouri,Lee's Summit",100772
"Massachusetts,Quincy",100544
"Texas,San Angelo",100330
"Massachusetts,Lynn",100233
"Michigan,Holland",100202
"Washington,Federal Way",99792
"California,Manteca",99764
"Colorado,Lafayette",99475
"New Mexico,Santa Fe",99439
"California,Hesperia",99287
"Wisconsin,La Crosse",99227
"Florida,Riverview",98928
"Tennessee,Kingsport",98767
"Texas,Edinburg",98759
"California,Vista",98651
"Kentucky,Bowling Green",98537
"Indiana,Carmel",98137
"Texas,Longview",98075
"California,Tracy",98022
"Arizona,Prescott Valley",97901
"Oregon,Beaverton",97466
"New Hampshire,Portsmouth",97455
"Virginia,Portsmouth",97454
"Indiana,Fishers",97154
"Utah,Orem",96734
"Utah,Sandy",96272
"Florida,Sunrise",96220
"Arizona,San Tan Valley",96127
"California,Compton",96083
"California,Arden-Arcade",95909
"California,Hanford",95459
"Florida,Boca Raton",95347
"Ohio,Middletown",95296
"Michigan,Livonia",95294
"California,Carson",95104
"Kansas,Lawrence",94745
"Louisiana,Slidell",94498
"Virginia,Blacksburg",94398
"California,San Marcos",94313
"Arizona,Goodyear",93651
"Oklahoma,Edmond",93522
"Puerto Rico,Mayagüez",93426
"Massachusetts,Fall River",93339
"California,South Gate",93308
"Virginia,Suffolk",93268
"Indiana,Terre Haute",93247
"Montana,Missoula",92863
"California,Santa Monica",92828
"Georgia,Roswell",92688
"New Jersey,Vineland",92364
"Florida,Plantation",92212
"Florida,Alafaya",92080
"Washington,Kirkland",91656
"Alabama,Hoover",91371
"California,Westminster",91267
"Oklahoma,Lawton",91247
"California,San Leandro",91176
"Alabama,Auburn",91047
"Connecticut,Norwalk",90821
"Missouri,O'Fallon",90802
"California,Chino",90279
"Maryland,Germantown",90235
"New Hampshire,Dover",89874
"North Dakota,Bismarck",89825
"Illinois,Waukegan",89751
"Arizona,Buckeye",89711
"Florida,Town 'n' Country",89679
"New Jersey,Clifton",89460
"Minnesota,Bloomington",89436
"South Carolina,Mount Pleasant",88900
"South Carolina,Florence",88709
"Massachusetts,Newton",88647
"Pennsylvania,State College",88526
"California,Livermore",88403
"South Dakota,Rapid City",88076
"Illinois,Decatur",88002
"Georgia,Dalton",87944
"Texas,Conroe",87930
"California,Hawthorne",87863
"Massachusetts,Lawrence",87798
"Texas,New Braunfels",87549
"California,Citrus Heights",87521
"Michigan,Jackson",87230
"California,Whittier",87184
"Indiana,Muncie",87037
"Michigan,Troy",86912
"Florida,Homosassa Springs",86578
"Michigan,Port Huron",86440
"California,Napa",86130
"Florida,Deerfield Beach",86062
"Arkansas,Springdale",85887
"California,Newport Beach",85806
"Indiana,Anderson",85700
"California,San Ramon",85688
"California,Lake Forest",85516
"Texas,Mission",85311
"Washington,Auburn",85306
"Minnesota,Brooklyn Park",85247
"Texas,Bryan",85204
"Ohio,Springfield",85121
"Mississippi,Hattiesburg",85086
"Michigan,Westland",84961
"Illinois,Cicero",84905
"Georgia,Albany",84901
"Florida,Fort Myers",84694
"Florida,Pine Hills",84289
"Texas,Atascocita",84222
"California,Buena Park",83974
"California,Redwood City",83905
"Michigan,Farmington Hills",83749
"Illinois,Alton",83705
"Florida,Melbourne",83500
"Florida,Miami Beach",83469
"California,Alhambra",83174
"Virginia,Williamsburg",83021
"California,Madera",82772
"Rhode Island,Warwick",82666
"Rhode Island,Cranston",82654
"Texas,Baytown",82543
"Florida,Largo",82505
"Maryland,Silver Spring",82472
"California,Lakewood",82419
"California,Mountain View",82409
"Illinois,Kankakee",82095
"Georgia,Johns Creek",82068
"Arizona,Flagstaff",81682
"Tennessee,Franklin",81531
"Missouri,Joplin",81025
"Ohio,Parma",80880
"Utah,Layton",80858
"New York,New Rochelle",80685
"South Carolina,Anderson",80657
"Pennsylvania,Lebanon",80620
"Massachusetts,Somerville",80608
"Puerto Rico,Yauco",80307
"Missouri,St. Joseph",80099
"Minnesota,Plymouth",80034
"California,Tustin",79895
"Florida,Zephyrhills",79795
"California,Milpitas",79593
"Alabama,Florence",79590
"California,Pleasanton",79558
"Florida,Boynton Beach",79479
"Texas,Texarkana",79304
"California,Folsom",79201
"California,Bellflower",79070
"Texas,Pharr",78997
"Florida,Homestead",78885
"Georgia,Valdosta",78786
"California,Upland",78624
"Illinois,Evanston",78454
"Ohio,Newark",78447
"Kentucky,Elizabethtown",78446
"Florida,St. Augustine",78386
"California,Rancho Cordova",78358
"California,Alameda",78320
"California,Chino Hills",78229
"California,Perris",78106
"Illinois,Schaumburg",78053
"Florida,Kendall",78007
"California,Camarillo",77795
"Alabama,Anniston",77690
"South Carolina,Sumter",77626
"Arkansas,Jonesboro",77520
"Indiana,Hammond",77491
"California,Carmichael",77358
"Illinois,Arlington Heights",77283
"West Virginia,Morgantown",77193
"Michigan,Wyoming",76625
"Wyoming,Cheyenne",76456
"Washington,Pasco",76398
"California,Watsonville",76285
"Michigan,Southfield",76196
"Wisconsin,Wausau",76016
"Michigan,Rochester Hills",75990
"Colorado,Loveland",75938
"Louisiana,Alexandria",75835
"California,Pittsburg",75701
"Louisiana,Hammond",75688
"Utah,South Jordan",75617
"Michigan,Battle Creek",75608
"Pennsylvania,Bethlehem",75599
"Puerto Rico,Fajardo",75549
"California,Davis",75468
"California,Apple Valley",75311
"Rhode Island,Pawtucket",75200
"West Virginia,Wheeling",75065
"Texas,Flower Mound",75050
"Virginia,Harrisonburg",74901
"Texas,Cedar Park",74741
"Wisconsin,Oshkosh",74737
"Virginia,Winchester",74593
"Puerto Rico,Caguas",74502
"Maryland,Ellicott City",74432
"Idaho,Pocatello",74359
"South Carolina,Hilton Head Island",74248
"Connecticut,New Britain",74022
"Ohio,Mansfield",74021
"Minnesota,Woodbury",74014
"Florida,Lauderhill",73935
"Utah,Lehi",73911
"Illinois,Bolingbrook",73807
"Virginia,Dale City",73716
"Texas,Missouri City",73682
"Texas,Lake Jackson",73478
"Pennsylvania,Altoona",73374
"Florida,Doral",73126
"Kentucky,Owensboro",73115
"Virginia,Centreville",73064
"New York,Mount Vernon",72855
"California,Baldwin Park",72813
"Colorado,Broomfield",72697
"California,Redlands",72649
"Tennessee,Cleveland",72589
"Alabama,Dothan",72389
"New Jersey,Camden",72381
"Washington,Redmond",72166
"Massachusetts,Framingham",72089
"Tennessee,Jackson",71983
"Wisconsin,Janesville",71907
"Puerto Rico,Juana Díaz",71759
"Texas,Mansfield",71375
"Wisconsin,Waukesha",71307
"Florida,Tamarac",71140
"Washington,Wenatchee",71119
"Florida,Daytona Beach",71041
"Colorado,Castle Rock",71037
"California,Redondo Beach",70998
"Delaware,Wilmington",70926
"Texas,San Marcos",70864
"California,Union City",70828
"Maryland,Eldersburg",70639
"Arkansas,Conway",70555
"New Jersey,Bayonne",70553
"Puerto Rico,Guaynabo",70542
"California,Rocklin",70317
"New Jersey,Passaic",70308
"Wisconsin,Sheboygan",70234
"Arizona,Casas Adobes",70224
"Missouri,St. Charles",70218
"Minnesota,Maple Grove",69900
"California,Walnut Creek",69876
"California,Dublin",69818
"Texas,North Richland Hills",69817
"Indiana,Gary",69739
"Maryland,Glen Burnie",69739
"Tennessee,Bristol",69734
"Alabama,Decatur",69710
"Wisconsin,West Bend",69672
"California,Lodi",69467
"Ohio,Lima",69440
"Puerto Rico,Florida",69427
"Minnesota,Lakeville",69026
"Minnesota,Blaine",68999
"Florida,Poinciana",68922
"New Jersey,East Orange",68918
"Indiana,Noblesville",68885
"Maryland,Gaithersburg",68827
"California,Lake Elsinore",68822
"California,Palo Alto",68624
"California,Eastvale",68539
"California,Tulare",68395
"Arkansas,Rogers",68340
"California,Yorba Linda",68319
"West Virginia,Parkersburg",68217
"Minnesota,Eagan",68205
"Florida,Weston",68148
"Washington,Longview",67958
"Michigan,Bay City",67917
"Iowa,Dubuque",67916
"New Jersey,Union City",67903
"California,Porterville",67887
"Washington,Mount Vernon",67767
"Illinois,Palatine",67754
"California,El Paso de Robles",67696
"Iowa,West Des Moines",67640
"California,Lynwood",67497
"Illinois,Skokie",67444
"Texas,Sherman",67210
"Maryland,Rockville",67095
"Massachusetts,Haverhill",67093
"Pennsylvania,Hanover",67037
"Kansas,Shawnee",67021
"Georgia,Rome",66998
"New York,Schenectady",66809
"Washington,South Hill",66713
"Illinois,DeKalb",66624
"California,Petaluma",66609
"Washington,Sammamish",66532
"Texas,Georgetown",66514
"Illinois,Carbondale",66482
"Florida,Delray Beach",66434
"Maryland,Dundalk",66426
"Louisiana,Kenner",66411
"Oregon,Albany",66405
"Iowa,Ankeny",66346
"California,South San Francisco",66331
"California,Castro Valley",66324
"Maryland,Bethesda",66294
"New York,Saratoga Springs",66290
"Oregon,Corvallis",66090
"New York,Brentwood",66035
"Iowa,Ames",66027
"New York,Glens Falls",66024
"Indiana,Michigan City",65946
"Texas,Victoria",65643
"Massachusetts,Malden",65602
"West Virginia,Weirton",65447
"Michigan,Novi",65369
"Puerto Rico,Guayama",65343
"Georgia,Alpharetta",65187
"Florida,Wesley Chapel",65134
"Massachusetts,Waltham",64655
"California,Laguna Niguel",64608
"California,San Clemente",64600
"Arkansas,North Little Rock",64444
"Alaska,Fairbanks",64160
"California,Florence-Graham",64109
"Minnesota,Eden Prairie",64048
"New Jersey,Twin Rivers",64012
"Texas,Pflugerville",64007
"Wyoming,Casper",63962
"Minnesota,Burnsville",63926
"North Dakota,Grand Forks",63767
"California,Brentwood",63618
"Utah,Millcreek",63430
"New York,Elmira",63404
"Florida,Sebring",63287
"California,La Habra",63287
"Minnesota,Coon Rapids",63269
"Louisiana,Bossier City",63168
"Ohio,Hamilton",63127
"Michigan,Taylor",63071
"Washington,Lakewood",62972
"Indiana,Greenwood",62914
"Nebraska,Bellevue",62888
"California,Montebello",62828
"Oklahoma,Moore",62633
"Iowa,Council Bluffs",62617
"Texas,Rowlett",62606
"Texas,Spring",62569
"Florida,Port Charlotte",62531
"Virginia,Reston",62453
"California,Pico Rivera",62383
"Michigan,Dearborn Heights",62334
"Florida,Port Orange",62197
"California,Encinitas",62140
"Oregon,Springfield",62138
"Montana,Great Falls",62112
"North Carolina,Rocky Mount",61952
"Colorado,Commerce City",61516
"Michigan,Pontiac",61498
"Florida,The Hammocks",61461
"Florida,Wellington",61445
"California,San Rafael",61158
"California,Monterey Park",61153
"California,La Mesa",61040
"California,Woodland",60977
"Georgia,Marietta",60962
"North Carolina,Chapel Hill",60920
"California,Gardena",60917
"Connecticut,Meriden",60790
"Connecticut,Bristol",60733
"Massachusetts,Revere",60720
"Massachusetts,Medford",60708
"Florida,Palm Harbor",60682
"California,Cupertino",60681
"Florida,Jupiter",60629
"Tennessee,Hendersonville",60628
"Florida,North Miami",60449
"Illinois,Des Plaines",60413
"Utah,Taylorsville",60295
"Wisconsin,West Allis",60220
"Florida,Sanford",60215
"North Carolina,Huntersville",60166
"Texas,Euless",60134
"Washington,Richland",59718
"California,Santee",59679
"New York,White Plains",59452
"New Jersey,Hoboken",59369
"Indiana,Kokomo",59263
"Massachusetts,Taunton",59076
"Michigan,St. Clair Shores",59046
"Maryland,Towson",59014
"Idaho,Caldwell",58872
"California,South Whittier",58800
"Illinois,Orland Park",58622
"Georgia,Stonecrest",58602
"Florida,Palm Beach Gardens",58482
"Michigan,Royal Oak",58368
"Florida,Margate",58331
"Missouri,Blue Springs",58265
"Washington,Shoreline",58213
"Oklahoma,Midwest City",58146
"Maryland,Bowie",58113
"North Carolina,Apex",58066
"Illinois,Oak Lawn",58032
"Nevada,Carson City",57957
"Florida,Fountainebleau",57957
"Arizona,Queen Creek",57728
"Texas,Leander",57696
"Tennessee,Bartlett",57639
"Florida,St. Cloud",57610
"Florida,Coconut Creek",57553
"Ohio,Kettering",57503
"Colorado,Parker",57311
"Missouri,St. Peters",57289
"California,Fountain Valley",57139
"Arizona,Maricopa",57075
"Illinois,Berwyn",56960
"California,National City",56846
"Kansas,Lenexa",56755
"California,Highland",56733
"California,Arcadia",56697
"Illinois,Mount Prospect",56510
"Arizona,Lake Havasu City",56510
"Illinois,Tinley Park",55988
"Texas,DeSoto",55761
"New Jersey,New Brunswick",55671
"Massachusetts,Chicopee",55636
"Alabama,Madison",55551
